243,367
277,367
19,21
30,192
391,192
84,192
19,192
69,192
102,256
253,352
67,234
19,201
67,201
67,185
84,292
395,292
47,292
382,292
54,292
47,275
30,236
395,236
115,236
19,1
47,163
1,2
391,264
355,264
115,264
382,264
262,264
54,264
391,272
355,272
115,272
262,272
54,272
170,207
47,207
115,116
54,116
144,217
102,217
30,76
355,76
19,76
393,76
253,76
84,338
144,338
84,334
144,334
30,45
359,45
84,45
355,45
19,45
47,45
80,45
144,45
115,45
102,45
46,45
67,45
54,45
359,51
355,51
19,51
47,51
80,51
102,51
46,51
67,51
54,51
19,56
102,56
359,56
355,56
54,56
80,56
1,20
19,20
67,87
355,360
170,360
19,90
30,90
395,90
102,90
67,90
144,329
253,300
54,300
47,247
144,247
47,276
253,276
391,327
84,327
123,354
84,354
80,105
144,105
102,105
170,30
30,72
30,200
170,200
30,368
393,368
253,368
67,340
69,290
69,141
47,66
180,66
80,66
115,66
46,66
67,66
277,243
47,243
180,243
80,243
115,243
46,243
253,243
67,243
19,77
46,77
84,238
47,349
144,349
253,278
212,177
277,177
359,177
302,177
47,177
180,177
80,177
115,177
102,177
46,177
253,177
212,196
277,196
359,196
302,196
47,196
180,196
80,196
115,196
102,196
46,196
253,196
47,240
359,240
302,240
102,240
46,240
196,263
80,212
144,212
41,212
331,212
331,277
331,372
391,82
355,82
170,82
47,82
80,82
67,82
54,82
47,339
253,339
47,310
253,310
19,187
47,187
46,187
393,187
253,187
19,188
47,188
46,188
393,188
253,188
46,74
84,74
47,74
84,326
355,326
47,326
46,326
19,107
19,311
69,299
102,299
359,119
80,119
102,119
391,379
355,379
170,379
123,379
262,379
54,379
144,267
67,131
1,172
391,172
19,172
144,172
67,172
391,332
355,332
102,332
331,332
54,332
1,63
19,63
144,63
123,63
144,179
123,179
391,191
355,191
170,191
123,191
262,191
54,191
359,366
355,366
80,366
144,366
102,366
41,366
331,366
144,125
123,125
67,125
253,293
302,333
144,333
277,280
302,280
144,280
84,244
253,330
391,355
382,355
262,355
47,147
30,214
30,23
19,23
30,24
19,24
84,241
1,15
19,15
1,8
80,8
1,10
80,10
30,271
253,271
123,362
30,285
46,62
47,62
47,64
253,64
1,12
1,3
67,86
67,390
123,233
123,189
123,181
30,61
84,61
355,61
19,61
170,61
47,61
80,61
115,61
102,61
46,61
41,61
54,61
130,61
30,34
355,34
47,34
359,34
19,34
170,34
41,34
54,34
253,34
67,34
30,237
359,237
84,237
355,237
19,237
170,237
47,237
180,237
80,237
144,237
115,237
102,237
46,237
41,237
253,237
67,237
54,237
30,136
391,136
331,136
123,136
69,85
391,89
30,89
54,89
262,89
30,35
19,35
253,35
67,205
67,223
47,79
46,79
253,79
47,184
46,184
47,249
46,249
46,98
47,98
84,218
144,218
84,319
144,319
115,239
30,239
123,239
